Title;Artist
 Oa Oa;Art Popular 
 Petalas De Rosas;Art Popular 
 Pimpolho;Art Popular 
 Primeiro Beijo;Art Popular 
 Sem Abuso;Art Popular 
 Temporal;Art Popular 
 Utopia;Art Popular 
 Valeu Demais;Art Popular 
 Fricote;Art Popular E Daniel 
 Rancho Fundo;Ary Barroso 
 Maria Brasileira;As Empreguetes 
 Vida De Empreguete;As Empreguetes 
 Dancing Days;As Freneticas 
 Perigosas Peruas;As Freneticas 
 Cara;As Marcianas 
 Bom Xibom;As Meninas 
 Assim Nao Da;As Mineirinhas 
 Assim Voce Vai Me Perder;As Mineirinhas 
 De Novo Em Seus Bracos;As Mineirinhas 
 Mata A Menina;As Mineirinhas 
 Tatuagem;As Mineirinhas 
 Danca Do Vampiro;Asa De Aguia 
 Leva Eu;Asa De Aguia 
 Manivela;Asa De Aguia 
 Porto Seguro;Asa De Aguia 
 Xo Satanas;Asa De Aguia 
 Amor Carrapicho;Ataide E Alexandre 
 Apaixonado Por Voce;Ataide E Alexandre 
 Apaziguar;Ataide E Alexandre 
 Deus Me Livre;Ataide E Alexandre 
 Estrada Do Amor;Ataide E Alexandre 
 Laco Aberto;Ataide E Alexandre 
 Ta Nervoso Vai Pesca;Ataide E Alexandre 
 Te Amar Foi Um Erro;Ataide E Alexandre 
 Vento Da Manha;Ataide E Alexandre 
 Voce Marcou Pra Mim;Ataide E Alexandre 
 Meus Tempos De Crianca Professorinha;Ataulfo Alves 
 Cerveja De Garrafa;Atitude 67 
 Acabou Morreu;Avine Vinny 
 Desculpa;Avine Vinny 
 Eu Era;Avine Vinny 
 Popa Da Bunda;Avine Vinny 
 Whisky, Cigarro E Violao;Avine Vinny 
 Adulterio;Avioes Do Forro 
 Alianca No Bolso;Avioes Do Forro 
 Alo To No Bar;Avioes Do Forro 
 Avioes Chegou;Avioes Do Forro 
 Banca De Flores;Avioes Do Forro 
 Cartorio;Avioes Do Forro 
 Chupa Que E De Uva;Avioes Do Forro 
 Correndo Atras De Mim;Avioes Do Forro 
 Da Beijinho Que Passa;Avioes Do Forro 
 Danca Kuduro;Avioes Do Forro 
 Dom Dom Dom;Avioes Do Forro 
 E Dai;Avioes Do Forro 
 Eu Acho Que Estou Gostando De Voce;Avioes Do Forro 
 Eu Ela E A Amiga Dela;Avioes Do Forro 
 Eu Nao Vou Mais Chorar;Avioes Do Forro 
 Eu Sei De Cor;Avioes Do Forro 
 Faz Tempo;Avioes Do Forro 
 Fiquei Sabendo;Avioes Do Forro 
 Galera Da Rodinha;Avioes Do Forro 
 Gostosao;Avioes Do Forro 
 Jeito Carinhoso;Avioes Do Forro 
 Malandramente;Avioes Do Forro 
 Meu Carro Virou Hotel;Avioes Do Forro 
 Minha Mulher Nao Deixa Nao;Avioes Do Forro 
 Nao Me Esqueceu Ne;Avioes Do Forro 
 Nao Vou Mais Chorar;Avioes Do Forro 
 Naquele Mesmo Bar;Avioes Do Forro 
 No Toque Do Celular;Avioes Do Forro 
 Novo Namorado;Avioes Do Forro 
 Pare Com Isso;Avioes Do Forro 
 Quem Ama Cuida;Avioes Do Forro 
 Quero Ver As Novinhas No Chao;Avioes Do Forro 
 Risca Faca;Avioes Do Forro 
 Safadim;Avioes Do Forro 
 Saia E Bicicletinha;Avioes Do Forro 
 Senta Que E De Menta;Avioes Do Forro 
 Sintonia E Desejo;Avioes Do Forro 
 Solteiro Na Sexta;Avioes Do Forro 
