Title;Artist
 Sol De Primavera;Beto Guedes 
 A Necessidade;Bezerra Da Silva 
 Bata Da Vovo;Bezerra Da Silva 
 Catatau Nervoso;Bezerra Da Silva 
 Coisa Ruim;Bezerra Da Silva 
 Dedo Duro;Bezerra Da Silva 
 O Cabrito Berrou;Bezerra Da Silva 
 O Pinel;Bezerra Da Silva 
 Pega Eu;Bezerra Da Silva 
 Todo Enrolado;Bezerra Da Silva 
 Leao Ferido;Biafra 
 Rua Ramalhete;Biafra 
 Seu Nome;Biafra 
 Sonho De Icaro;Biafra 
 Vinho Antigo;Biafra 
 Nosso Xote;Bicho De Pe 
 Dani;Biquini Cavadao 
 Janaina;Biquini Cavadao 
 Quando Eu Te Encontrar;Biquini Cavadao 
 Tedio;Biquini Cavadao 
 Timidez;Biquini Cavadao 
 Vento Ventania;Biquini Cavadao 
 Ze Ninguem;Biquini Cavadao 
 A Dois Passos Do Paraiso;Blitz 
 Mais Uma De Amor;Blitz 
 Voce Nao Soube Me Amar;Blitz 
 Weekend;Blitz 
 Toada;Boca Livre 
 Duas Paixoes;Boka Loka 
 Nao Pedi Pra Me Apaixonar;Boka Loka 
 Shortinho Saint Tropez;Boka Loka 
 Quadradinho De 8;Bonde Das Maravilhas 
 Alo Paixao;Bonde Do Brasil 
 Entao Volta;Bonde Do Brasil 
 Sem Voce Nao Sou Mais Eu;Bonde Do Brasil 
 Aonde Esta Voce;Bonde Do Forro 
 Cuida Do Nosso Amor;Bonde Do Forro 
 Garota De Programa;Bonde Do Forro 
 Mariane;Bonde Do Forro 
 Nos Bares Da Cidade;Bonde Do Forro 
 Porque Brigamos;Bonde Do Forro 
 Qualquer Jeito;Bonde Do Forro 
 Quando Um Grande Amor Se Faz;Bonde Do Forro 
 Se Nao Tivesse Ido;Bonde Do Forro 
 Cerol Na Mao;Bonde Do Tigrao 
 Malha Funk;Bonde Do Tigrao 
 Um Morto Muito Louco;Bonde Do Tigrao 
 Na Casa Do Seu Ze;Bonde Dos Catchorros 
 Perereca Suicida;Bonde Dos Catchorros 
 Faz Mais Uma Vez Comigo Olha Amor;Bonde Sertanejo 
 Mentira Que Virou Paixao;Bonde Sertanejo 
 Por Te Amar Demais;Bonde Sertanejo 
 Som Do Solinho;Boyzinho 
 Vamo Baruia;Brenno E Matheus 
 Mentirinha;Breno E Caio Cesar E Leo Santana 
 6 Graus Abaixo De Zero;Breno E Caio Cesar E Matheus E Kauan 
 A Prometida;Broz 
 Advogado Fiel;Bruna Karla 
 Agora Eu Tenho Voce Comigo;Bruna Karla 
 Amigo De Todas As Horas;Bruna Karla 
 Cicatrizes;Bruna Karla 
 Como Aguia;Bruna Karla 
 Como Eu Nao Poderia Amar Voce;Bruna Karla 
 Da Me Outra Chance;Bruna Karla 
 Deixar A Lagrima Rolar;Bruna Karla 
 Deus E Bom Demais Pra Mim;Bruna Karla 
 Deus Vem Me Socorrer;Bruna Karla 
 Em Meio As Lutas;Bruna Karla 
 Eu Nao Abro Mao;Bruna Karla 
 Forca;Bruna Karla 
 Independencia Ou Morte;Bruna Karla 
 Jamais Deixarei Voce;Bruna Karla 
 Meu Filho Benjamin;Bruna Karla 
 Na Mira De Deus;Bruna Karla 
 Nasce Jesus;Bruna Karla 
 Pai, Eu Confiarei;Bruna Karla 
 Quando Eu Chorar;Bruna Karla 
 Que Bom Que Voce Chegou;Bruna Karla 
 Sou Humano;Bruna Karla 
 Vamos Juntos;Bruna Karla E Pr. Lucas 
 Voce Nao Sabe Quero Ver;Bruna Viola 
 Ce Eh Loco;Bruninho E Davi 
 Fico Com Voce;Bruninho E Davi 
 Imagina Com As Amigas;Bruninho E Davi 
 Me Leva Amor;Bruninho E Davi 
 Se Namorar Fosse Bom;Bruninho E Davi 
 Smirnofy;Bruninho E Davi 
 Faixa 3;Bruninho E Davi E Gusttavo Lima 
 Onde Nasce O Sol;Bruninho E Davi E Jorge E Mateus 
 E Essa Boca Ai;Bruninho E Davi E Luan Santana 
 Vamo Mexe;Bruninho E Davi E Michel Telo 
 Bebe Que Passa;Bruno E Barreto 
 40 Graus De Amor;Bruno E Barretto 
 Bebado No Maximo;Bruno E Barretto 
 Bruto E Carinhoso;Bruno E Barretto 
 Copia Mal Feita;Bruno E Barretto 
 Eu Quero E Rolo;Bruno E Barretto 
 Farra Pinga E Foguete;Bruno E Barretto 
 To Pouco Me Lixando;Bruno E Barretto E Conrado E Aleksandro 
 La Se Foi O Boi Com A Corda;Bruno E Barretto E Dj Kevin 
 A Culpa E Sua;Bruno E Marrone 
 A Dois Graus;Bruno E Marrone 
 A Nova Flor;Bruno E Marrone 
 A Solidao E Uma Ressaca;Bruno E Marrone 
 Abafa O Caso;Bruno E Marrone 
 Acorrentado Em Voce;Bruno E Marrone 
 Acorrentado Favo De Mel Meu Segredo;Bruno E Marrone 
 Agarrada Em Mim;Bruno E Marrone 
 Agora;Bruno E Marrone 
 Amor De Carnaval;Bruno E Marrone 
 Amor De Ping Pong;Bruno E Marrone 
 Amor Nao Vai Faltar;Bruno E Marrone 
 Anjo Do Amor;Bruno E Marrone 
 Apenas Um Sorriso;Bruno E Marrone 
 Bar Solidao;Bruno E Marrone 
 Beijo De Varanda;Bruno E Marrone 
 Bijuteria;Bruno E Marrone 
 Boate Azul;Bruno E Marrone 
 Boate Azul Sublime Renuncia;Bruno E Marrone 
 Castelo De Areia;Bruno E Marrone 
 Choram As Rosas;Bruno E Marrone 
 Chorao Apaixonado;Bruno E Marrone 
 Ciume De Tudo + Dama De Vermelho + Brigas;Bruno E Marrone 
 Coisa De Pele;Bruno E Marrone 
 Como Eu Te Amo;Bruno E Marrone 
 Coracao De Pedra;Bruno E Marrone 
 Credo Em Cruz Ave Maria;Bruno E Marrone 
 Dama De Vermelho;Bruno E Marrone 
 Deixa;Bruno E Marrone 
 Desiguais;Bruno E Marrone 
 Dor E Saudade;Bruno E Marrone 
 Dormi Na Praca;Bruno E Marrone 
 Duas Vezes Voce;Bruno E Marrone 
 E Pra La Que Eu Vou;Bruno E Marrone 
 Entao Pode Ir;Bruno E Marrone 
 Esqueci;Bruno E Marrone 
 Essa Historia Eu Conheco;Bruno E Marrone 
 Eu Nao Vou Aceitar;Bruno E Marrone 
 Eu Sei;Bruno E Marrone 
 Favo De Mel;Bruno E Marrone 
 Faz De Conta;Bruno E Marrone 
 Feriado Nacional;Bruno E Marrone 
 Ficar Por Ficar;Bruno E Marrone 
 Flash Back De Nos Dois;Bruno E Marrone 
 Fruto Especial;Bruno E Marrone 
 Goias E Mais;Bruno E Marrone 
 Grito De Alerta;Bruno E Marrone 
 Guaranias;Bruno E Marrone 
 Homem Do Meu Tempo;Bruno E Marrone 
 Imprevisivel;Bruno E Marrone 
 Inevitavel;Bruno E Marrone 
 Isso Ce Num Conta;Bruno E Marrone 
 Ja Nao Sei Mais Nada;Bruno E Marrone 
 Juras De Amor;Bruno E Marrone 
 Lagrimas E Vinho;Bruno E Marrone 
 Ligacao Urbana;Bruno E Marrone 
 Machuca Demais;Bruno E Marrone 
 Me Namora;Bruno E Marrone 
 Menina;Bruno E Marrone 
 Metade Da Metade;Bruno E Marrone 
 Meu Disfarce;Bruno E Marrone 
 Meu Jeito De Sentir;Bruno E Marrone 
 Meu Presente E Voce;Bruno E Marrone 
 Meu Segredo;Bruno E Marrone 
 Mudei Demais;Bruno E Marrone 
 Na Conta Da Loucura;Bruno E Marrone 
 Nao Faz Mais Isso Comigo;Bruno E Marrone 
 Nao Posso Ter Medo De Amar;Bruno E Marrone 
 Nao Tente Me Impedir;Bruno E Marrone 
 O Amor Esta Aqui;Bruno E Marrone 
 O Rebolado Da Morena;Bruno E Marrone 
 O Sonho Nao Acabou;Bruno E Marrone 
 Oceano;Bruno E Marrone 
 Os Homens Nao Devem Chorar;Bruno E Marrone 
 Parabens Pro Nosso Amor;Bruno E Marrone 
 Paredes Azuis;Bruno E Marrone 
 Passou Da Conta;Bruno E Marrone 
 Pela Porta Da Frente;Bruno E Marrone 
 Pensa Num Trem Bao;Bruno E Marrone 
 Pode Ir Embora;Bruno E Marrone 
 Por Um Gole A Mais;Bruno E Marrone 
 Por Um Minuto;Bruno E Marrone 
 Pra Nao Morrer De Amor;Bruno E Marrone 
 Preciso Amar De Novo;Bruno E Marrone 
 Programa De Fim Semana;Bruno E Marrone 
 Que Pescar Que Nada;Bruno E Marrone 
 Quer Casar Comigo;Bruno E Marrone 
 Recaida;Bruno E Marrone 
 Se For Chorar;Bruno E Marrone 
 Se Tiver Coragem Joga Fora;Bruno E Marrone 
 Selecao De Boleros;Bruno E Marrone 
 Sem Ninguem Me Ver Chorar;Bruno E Marrone 
 Sera;Bruno E Marrone 
 Sera Que Me Esqueceu;Bruno E Marrone 
 Seu Amor Ainda E Tudo;Bruno E Marrone 
 So Pro Meu Prazer;Bruno E Marrone 
 So Sei Te Amar;Bruno E Marrone 
 Sonho Louco;Bruno E Marrone 
 Sonhos Perdidos;Bruno E Marrone 
 Stop Que Ela E Top;Bruno E Marrone 
 Sua Melhor Versao;Bruno E Marrone 
 Sublime Renuncia;Bruno E Marrone 
 Ta Liberado;Bruno E Marrone 
 Ta Pegando;Bruno E Marrone 
 Tchau Tchau;Bruno E Marrone 
 Te Amar Foi Ilusao;Bruno E Marrone 
 Te Amo Tanto;Bruno E Marrone 
 Tentativas Em Vao;Bruno E Marrone 
 Transito Parado;Bruno E Marrone 
 Um Bom Perdedor;Bruno E Marrone 
 Vai Dar Namoro;Bruno E Marrone 
 Vai Sofrer Pra La;Bruno E Marrone 
 Ve Se Toma Juizo;Bruno E Marrone 
 Vida Vazia;Bruno E Marrone 
 Vidro Fume;Bruno E Marrone 
 Voce Nao Me Ensinou A Te Esquecer;Bruno E Marrone 
 Vou Te Amarrar Na Minha Cama;Bruno E Marrone 
 Uma Noite;Bruno E Marrone E Ana Paula 
 Doce Desejo;Bruno E Marrone E Babado Novo 
 Voce Me Trocou;Bruno E Marrone E Chitaozinho E Xororo 
 Voce Foi Atriz;Bruno E Marrone E Eduardo Costa 
 Ai Que O Amor Acontece;Bruno E Marrone E Humberto E Ronaldo 
 As Mina Pira;Cacio E Marcos 
 Ta Doidona;Cacio E Marcos 
 Tome Amor;Cacio E Marcos 
 A Luz De Tieta;Caetano Veloso 
 Alegria Alegria;Caetano Veloso 
 Cajuina;Caetano Veloso 
 Carinhoso;Caetano Veloso 
 Chuvas De Verao;Caetano Veloso 
 E Hoje;Caetano Veloso 
 Lua De Sao Jorge;Caetano Veloso 
 Lua E Estrela;Caetano Veloso 
 Meia Lua Inteira;Caetano Veloso 
 Meu Bem Meu Mal;Caetano Veloso 
 Nosso Estranho Amor;Caetano Veloso 
 O Leaozinho;Caetano Veloso 
 Podres Poderes;Caetano Veloso 
 Sampa;Caetano Veloso 
 So Vou Gostar De Quem Gosta De Mim;Caetano Veloso 
 Sozinho;Caetano Veloso 
 Tigresa;Caetano Veloso 
 Um Indio;Caetano Veloso 
 Voce E Linda;Caetano Veloso 
 Ceu De Santo Amaro;Caetano Veloso E Flavio Venturini 
 A Dona Do Barraco;Calcinha Preta 
 Balada Prime;Calcinha Preta 
 Dois Amores Duas Paixoes;Calcinha Preta 
 E O Vento Levou;Calcinha Preta 
 Hello;Calcinha Preta 
 Magica;Calcinha Preta 
 Manchete De Jornais;Calcinha Preta 
 Na Cama So Vai Dar Nos Dois;Calcinha Preta 
 Nao Se Apaixone Nao;Calcinha Preta 
 Paulinha;Calcinha Preta 
 Tutti;Calcinha Preta 
 Vencedor;Calcinha Preta 
 Voce Nao Vale Nada;Calcinha Preta 
 Gelo Na Balada;Camila E Haniel E Fernando E Sorocaba 
 Eu Nao Matei Joana Darc;Camisa De Venus 
 Sinca Chambord;Camisa De Venus 
 A Sua Maneira;Capital Inicial 
 Algum Dia;Capital Inicial 
 Cai A Noite;Capital Inicial 
 Como Devia Estar;Capital Inicial 
 Eu Vou Estar;Capital Inicial 
 Fatima;Capital Inicial 
 Fogo;Capital Inicial 
 Independencia;Capital Inicial 
 Melhor Do Que Ontem;Capital Inicial 
 Musica Urbana;Capital Inicial 
 Nao Olhe Pra Tras;Capital Inicial 
 Natasha;Capital Inicial 
 O Passageiro;Capital Inicial 
 Primeiros Erros;Capital Inicial 
 Psicopata;Capital Inicial 
 Quatro Vezes Voce;Capital Inicial 
 Respirar Voce;Capital Inicial 
 Tudo Que Vai;Capital Inicial 
 A Namorada;Carlinhos Brown 
 Ciganinha;Carlos Alexandre 
 Feiticeira;Carlos Alexandre 
 Cadeira Vazia;Carlos Andre 
 Caminheiro;Carlos Cezar E Cristiano 
 A Cruz;Carlos Dafe 
 Rolo Doido;Carlos E Jader 
 Sou Foda;Carlos E Jader 
 Diana;Carlos Gonzaga 
 Oh Carol;Carlos Gonzaga 
 Meu Velho Pai;Carmem Silva 
 Que E Que A Baiana Tem;Carmen Miranda 
 Tico Tico No Fuba;Carmen Miranda 
 Bruto Rustico E Sistematico;Carreiro E Capataz 
 Cemo Porque Cemo;Carreiro E Capataz 
 Chic Bacanizado;Carreiro E Capataz 
 Coracao Apaixonado;Carreiro E Capataz 
 E Pra Caba;Carreiro E Capataz 
 Faculdade Da Pinga;Carreiro E Capataz 
 Promessa;Carreiro E Capataz 
 Recem Abandonado;Carreiro E Capataz 
 Cade;Carreiro E Capataz E Matogrosso E Mathias 
 Amiguinho;Carrossel 
 As Rosas Nao Falam;Cartola 
 O Mundo E Um Moinho;Cartola 
 Colcha De Retalhos;Cascatinha E Inhana 
 Flor Do Cafezal;Cascatinha E Inhana 
 All Star;Cassia Eller 
 Catedral;Cassia Eller 
 Ect;Cassia Eller 
 Gatas Extraordinarias;Cassia Eller 
 Malandragem;Cassia Eller 
 Nos;Cassia Eller 
 O Segundo Sol;Cassia Eller 
 Palavras Ao Vento;Cassia Eller 
 Por Enquanto;Cassia Eller 
 Top Top;Cassia Eller 
 Relicario;Cassia Eller E Nando Reis 
 500 Graus;Cassiane 
 Amigo Espirito Santo;Cassiane 
 Cheiro De Vitoria;Cassiane 
 Com Cristo E Vencer;Cassiane 
 Com Muito Louvor;Cassiane 
 Festa No Ceu;Cassiane 
 Hino Da Vitoria;Cassiane 
 Imagine;Cassiane 
 Minha Essencia;Cassiane 
 Oferta Agradavel A Ti;Cassiane 
 Preciso De Uma Bencao;Cassiane 
 Tudo Novo;Cassiane 
 A Lua E Eu;Cassiano 
 Eu Amo Mais Voce;Catedral 
 Quem Foi Que Disse Que O Amor Pode Acabar;Catedral 
 Conceicao;Cauby Peixoto 
 Ah Vagabundo;Cavaleiros Do Forro 
 Mar De Docura;Cavaleiros Do Forro 
 Meu Ex;Caviar Com Rapadura 
 Brasil;Cazuza 
 Codinome Beija Flor;Cazuza 
 Exagerado;Cazuza 
 Faz Parte Do Meu Show;Cazuza 
 Ideologia;Cazuza 
 Maior Abandonado;Cazuza 
 O Nosso Amor A Gente Inventa;Cazuza 
 O Tempo Nao Para;Cazuza 
 Porque A Gente E Assim;Cazuza 
 Solidao Que Nada;Cazuza 
 Banho De Lua;Celly Campello 
 Biquini De Bolinha;Celly Campello 
 Broto Legal;Celly Campello 
 Estupido Cupido;Celly Campello 
 60 Dias Apaixonado;Cesar Menotti E Fabiano 
 Bao Tambem;Cesar Menotti E Fabiano 
 Cachorro De Rua;Cesar Menotti E Fabiano 
 Caso Marcado;Cesar Menotti E Fabiano 
 Caso Por Acaso;Cesar Menotti E Fabiano 
 Ciumenta;Cesar Menotti E Fabiano 
 Como Um Anjo;Cesar Menotti E Fabiano 
 Do Lado Esquerdo;Cesar Menotti E Fabiano 
 E Eu;Cesar Menotti E Fabiano 
 Estressada;Cesar Menotti E Fabiano 
 Eu Vou Doar Meu Coracao;Cesar Menotti E Fabiano 
 Gabriela;Cesar Menotti E Fabiano 
 Labirinto;Cesar Menotti E Fabiano 
 Leilao;Cesar Menotti E Fabiano 
 Lugar Melhor Que Bh;Cesar Menotti E Fabiano 
 Magia E Misterio Nova York O Que Tiver Que Vir Vira;Cesar Menotti E Fabiano 
 Me Apaixonei;Cesar Menotti E Fabiano 
 Mensagem Pra Ela;Cesar Menotti E Fabiano 
 Mesa 22;Cesar Menotti E Fabiano 
 Na Hora Do Adeus;Cesar Menotti E Fabiano 
 Nao Era Eu;Cesar Menotti E Fabiano 
 Nova York;Cesar Menotti E Fabiano 
 O Que Tiver De Vim Vira;Cesar Menotti E Fabiano 
 Pagina De Amigos;Cesar Menotti E Fabiano 
 Paixao Mineira;Cesar Menotti E Fabiano 
 Palavras De Amor Caso Marcado;Cesar Menotti E Fabiano 
 Para De Chorar;Cesar Menotti E Fabiano 
 Retrato;Cesar Menotti E Fabiano 
 Se Fosse Eu;Cesar Menotti E Fabiano 
 Sem Medo De Ser Feliz;Cesar Menotti E Fabiano 
 Tarde Demais;Cesar Menotti E Fabiano 
 Telefone Mudo;Cesar Menotti E Fabiano 
 Tentei Te Esquecer;Cesar Menotti E Fabiano 
 To Mal;Cesar Menotti E Fabiano 
 Www.Volta.Pra.Mim;Cesar Menotti E Fabiano 
 Labirintos;Cesar Minotti E Fabiano 
 A Fazenda Da Esperanca;Cezar E Paulinho 
 Companheiro E Companheiro;Cezar E Paulinho 
 I Love You Baby;Cezar E Paulinho 
 Morto De Saudade Sua;Cezar E Paulinho 
 Nois E Cowboy;Cezar E Paulinho 
 Nois Num Vive Sem Muie;Cezar E Paulinho 
 O Feijao E A Flor;Cezar E Paulinho 
 Pe De Bode;Cezar E Paulinho 
 Se Tiver Mulher Nois Vai;Cezar E Paulinho 
 Verdade De Pescador;Cezar E Paulinho 
 Viajante Solitario;Cezar E Paulinho 
 Voce E Tudo O Que Eu Pedi;Cezar E Paulinho 
 Ceu Azul;Charlie Brown Jr 
 Ela Vai Voltar;Charlie Brown Jr 
 Longe De Voce;Charlie Brown Jr 
 Lutar Pelo Que E Meu;Charlie Brown Jr 
 Meu Novo Mundo;Charlie Brown Jr 
 Nao E Serio;Charlie Brown Jr 
 Pontes Indestrutiveis;Charlie Brown Jr 
 Proibida Pra Mim;Charlie Brown Jr 
 Quinta Feira;Charlie Brown Jr 
 Senhor Do Tempo;Charlie Brown Jr 
 So Os Loucos Sabem;Charlie Brown Jr 
 Tamo Ai Na Atividade;Charlie Brown Jr 
 Te Levar;Charlie Brown Jr 
 Zoio De Lula;Charlie Brown Jr 
 10 Minutos Longe De Voce;Chicabana 
 100% Voce;Chiclete Com Banana 
 Chicleteiro Eu Chicleteira Ela;Chiclete Com Banana 
 De Bracos Abertos;Chiclete Com Banana 
 Diga Que Valeu;Chiclete Com Banana 
 Nao Vou Chorar;Chiclete Com Banana 
 A Banda;Chico Buarque 
 A Rita;Chico Buarque 
 Apesar De Voce;Chico Buarque 
 Carolina;Chico Buarque 
 Construcao;Chico Buarque 
 Cotidiano;Chico Buarque 
 Folhetin;Chico Buarque 
 Geni E O Zepelim;Chico Buarque 
 Gente Humilde;Chico Buarque 
 Homenagem Ao Malandro;Chico Buarque 
 Joao E Maria;Chico Buarque 
 Meu Caro Amigo;Chico Buarque 
 Minha Historia;Chico Buarque 
 O Malandro;Chico Buarque 
 O Meu Guri;Chico Buarque 
 Paratodos;Chico Buarque 
 Quem Te Viu Quem Te Ve;Chico Buarque 
 Roda Viva;Chico Buarque 
 Trocando Em Miudos;Chico Buarque 
 Vai Passar;Chico Buarque 
 Valsinha;Chico Buarque 
 Yolanda;Chico Buarque 
 Ta Com Raiva De Mim;Chico Rei E Parana 
 Alma Transparente;Chico Rey E Parana 
 Amor Rebelde;Chico Rey E Parana 
 Blusa Vermelha;Chico Rey E Parana 
 Canarinho Prisioneiro;Chico Rey E Parana 
 De La Pra Ca;Chico Rey E Parana 
 Encanto E Magia;Chico Rey E Parana 
 Leao Domado;Chico Rey E Parana 
 Minha Serenata;Chico Rey E Parana 
 Quem Sera Seu Outro Amor;Chico Rey E Parana 
 So Voce;Chico Rey E Parana 
 Tranque A Porta E Me Beija;Chico Rey E Parana 
 Do Lado De Ca;Chimarruts 
 Versos Simples;Chimarruts 
 Mentirinhas;Chiquititas 
 Remexe;Chiquititas 
 Tudo Tudo;Chiquititas 
NUVEM DE LÁGRIMAS;CHITÃOZINHO E XORORÓ
 40 E 20;Chitaozinho E Xororo 
 A Minha Vida ;Chitaozinho E Xororo 
 A Noite Do Nosso Amor;Chitaozinho E Xororo 
 Adeus Solidao;Chitaozinho E Xororo 
 Alo;Chitaozinho E Xororo 
 Arrasta Uma Cadeira;Chitaozinho E Xororo 
 Brincar De Ser Feliz;Chitaozinho E Xororo 
 Cabocla Tereza;Chitaozinho E Xororo 
 Casa Do Pecado;Chitaozinho E Xororo 
 Ciumento Demais;Chitaozinho E Xororo 
 Confidencias;Chitaozinho E Xororo 
 Coracao Sertanejo;Chitaozinho E Xororo 
 Coracao Vazio;Chitaozinho E Xororo 
 Corpo E Alma;Chitaozinho E Xororo 
 Deixei De Ser Cowboy Por Ela;Chitaozinho E Xororo 
 Do Tamanho Do Nosso Amor;Chitaozinho E Xororo 
 E Disso Que O Velho Gosta;Chitaozinho E Xororo 
 Ela Nao Vai Mais Chorar;Chitaozinho E Xororo 
 Eu Menti;Chitaozinho E Xororo 
 Eu Nao Existo Sem Voce;Chitaozinho E Xororo 
 Evidencias;Chitaozinho E Xororo 
 Falando As Paredes;Chitaozinho E Xororo 
 Fio De Cabelo;Chitaozinho E Xororo 
 Fogao De Lenha;Chitaozinho E Xororo 
 Foge De Mim;Chitaozinho E Xororo 
 Galinhada;Chitaozinho E Xororo 
 Hipotese;Chitaozinho E Xororo 
 Luar Do Sertao;Chitaozinho E Xororo 
 Majestade O Sabia;Chitaozinho E Xororo 
 Matriz Ou Filial;Chitaozinho E Xororo 
 Na Aba Do Meu Chapeu;Chitaozinho E Xororo 
 Nada E Igual Ao Amor;Chitaozinho E Xororo 
 Nascemos Pra Cantar;Chitaozinho E Xororo 
 No Rancho Fundo;Chitaozinho E Xororo 
 Obras De Poeta;Chitaozinho E Xororo 
 Pura Emocao;Chitaozinho E Xororo 
 Saco De Ouro;Chitaozinho E Xororo 
 Saudade Da Minha Terra;Chitaozinho E Xororo 
 Se Deus Me Ouvisse;Chitaozinho E Xororo 
 Se For Pra Ser Feliz;Chitaozinho E Xororo 
 Sem Destino;Chitaozinho E Xororo 
 Sistema Bruto;Chitaozinho E Xororo 
 Tradicao Gaucha;Chitaozinho E Xororo 
 Tristeza Do Jeca;Chitaozinho E Xororo 
 Um Homem Quando Ama;Chitaozinho E Xororo 
 Va Pro Inferno Com Seu Amor;Chitaozinho E Xororo 
 Nuvem De Lagrimas;Chitaozinho E Xororo E Fafa De Belem 
 Pegando Lagrimas;Chitaozinho E Xororo E Paula Fernandes 
 Frio Da Solidao;Chitaozinho E Xororo E Roupa Nova 
 Sinonimo;Chitaozinho E Xororo E Ze Ramalho 
 Te Perdi;Chris Duran 
 Fa;Christian E Cristiano 
 Saudade;Christian E Ralf 
 Eloi;Chrs Duran 
 Give Me;Chrystian 
 8 Segundos;Chrystian E Ralf 
 Ausencia;Chrystian E Ralf 
 Basta Um Olhar;Chrystian E Ralf 
 Calunia;Chrystian E Ralf 
 Caprichos De Mulher;Chrystian E Ralf 
 Cheiro De Shampoo;Chrystian E Ralf 
 Chora Peito;Chrystian E Ralf 
 Coracao Cacador;Chrystian E Ralf 
 Esse Amor Que Me Mata;Chrystian E Ralf 
 Mia Gioconda;Chrystian E Ralf 
 Mito;Chrystian E Ralf 
 O Que Tiver Que Vir Vira;Chrystian E Ralf 
 Olhos De Luar;Chrystian E Ralf 
 Onde Voce For Eu Vou;Chrystian E Ralf 
 Sensivel Demais;Chrystian E Ralf 
 Tempo Ao Tempo;Chrystian E Ralf 
 Um Cantinho Do Seu Coracao;Chrystian E Ralf 
 Vira Virou;Chrystian E Ralf 
 Bang Bang;Cia Do Calypso 
 Doce Tentacao;Cia Do Calypso 
 Impossivel Te Amar;Cia Do Calypso 
 Se Mancol;Cia Do Calypso 
 Tic Bum;Cia Do Calypso 
 Tum Tarara;Cia Do Calypso 
 Psiu, Psiu;Cia Do Pagode 
 A Estrada;Cidade Negra 
 A Sombra Da Maldade;Cidade Negra 
 Aonde Voce Mora;Cidade Negra 
 Firmamento;Cidade Negra 
 Girassol;Cidade Negra 
 O Ere;Cidade Negra 
 Pensamento;Cidade Negra 
 Querem Meu Sangue;Cidade Negra 
 Sabado A Noite;Cidade Negra 
 Close To You;Cidia E Dan 
 Canto Das Tres Racas;Clara Nunes 
 Conto De Areia;Clara Nunes 
 Lama;Clara Nunes 
 Tristeza E Pe No Chao;Clara Nunes 
 Bagunceira;Claudia Leitte 
 Baldin De Gelo;Claudia Leitte 
 Beijar Na Boca;Claudia Leitte 
 Dia Da Farra E Do Beijo;Claudia Leitte 
 Famosa;Claudia Leitte 
 Largadinho;Claudia Leitte 
 Matimba;Claudia Leitte 
 Passaros;Claudia Leitte 
 Taquita;Claudia Leitte 
 Tarraxinha;Claudia Leitte 
 Lacradora;Claudia Leitte E Maiara Maraisa 
 Sorri Sou Rei;Claudia Leitte E Natiruts 
 Eu Preciso Te Esquecer;Claudia Telles 
 Fim De Tarde;Claudia Telles 
 Conquista;Claudinho E Buchecha 
 Nosso Sonho;Claudinho E Buchecha 
 Quero Te Encontrar;Claudinho E Buchecha 
 Rap Do Salgueiro;Claudinho E Buchecha 
 So Love;Claudinho E Buchecha 
 A Namoradeira;Claudio Zoli 
 Cada Um Cada Um;Claudio Zoli 
 Mel Nesse Trem;Cleber E Cauan 
 Quase;Cleber E Cauan 
 Sonho;Cleber E Cauan 
 Tbt;Cleber E Cauan 
 To Com Pena De Voce;Cleber E Cauan E Israel Novaes 
 Onde Ha Fumaca Ha Fogo;Cleber E Cauan E Marilia Mendonca 
 So Que Nao;Cleber E Cauan Part Cacio E Marcos 
 Agenda Rabiscada;Cleiton E Camargo 
 Anjo Azul;Cleiton E Camargo 
 Se E Amor Nao Sei;Cleiton E Camargo 
 Esperando Na Janela;Cogumelo Plutao 
 Caminhao Pipa;Conrado E Aleksandro 
 Caminhonete Inteira;Conrado E Aleksandro 
 Chorando Mamado;Conrado E Aleksandro 
 Lobos;Conrado E Aleksandro 
 Poe No 120;Conrado E Aleksandro 
 Quem Nunca;Conrado E Aleksandro 
 So Se For Gelada;Conrado E Aleksandro 
 To Bebendo De Torneira;Conrado E Aleksandro 
 Certos Detalhes;Conrado E Aleksandro E Luan Santana 
 Dias Atras;Cpm22 
 Irreversivel;Cpm22 
 Nao Sei Viver Sem Ter Voce;Cpm22 
 O Mundo Da Voltas;Cpm22 
 Peter;Cpm22 
 Um Minuto Para O Fim Do Mundo;Cpm22 
 La Vem O Negao;Cravo E Canela 
 Ainda Ha Tempo;Criolo 
 Linha De Frente;Criolo 
 Lion Man;Criolo 
 Mario;Criolo 
 Nao Existe Amor Em SP;Criolo 
 Vai Doer;Cristiano Ara?Jo 
 Assim Voce Mata O Papai;Cristiano Araujo 
 Blackout;Cristiano Araujo 
 Caso Indefinido;Cristiano Araujo 
 Ce Que Sabe;Cristiano Araujo 
 Eh Com Ela Que Eu Estou;Cristiano Araujo 
 Eh Fato;Cristiano Araujo 
 Eh So Chegar E Beijar;Cristiano Araujo 
 Fazendo Bara Bere;Cristiano Araujo 
 Frases De Fogo;Cristiano Araujo 
 Hoje Eu Sou Seu Meu Bem;Cristiano Araujo 
 Hoje Eu To Terrivel;Cristiano Araujo 
 Maus Bocados;Cristiano Araujo 
 Me Apego;Cristiano Araujo 
 Mente Pra Mim;Cristiano Araujo 
 Nosso Amor Ja Era;Cristiano Araujo 
 Quebrou A Cara;Cristiano Araujo 
 Ta Mais Pra Capetinha;Cristiano Araujo 
 Voce Mudou;Cristiano Araujo 
 Simples Assim;Cristiano Araujo E Humberto E Ronaldo 
